id;behavioral/mechanistic;Syntactic_phenomena;Notes_exclude;exclude;model;causal, bidir;language;language_tested;Avg. Performance;Benchmarks;Benchmarks;Dependency parsing & constituency;Dependency parsing & constituency;Dependency parsing & constituency;Dependency parsing & constituency;Hierarchical structure;Hierarchical structure;Hierarchical structure;Hierarchical structure;Word order;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;POS & other lexical properties;POS & other lexical properties;Negation & NPIs;Negation & NPIs;Binding & coreference;Binding & coreference;Binding & coreference;Ellipsis & filler–gap dependencies;Ellipsis & filler–gap dependencies;Ellipsis & filler–gap dependencies;Typology;Argument structure & constructions;Argument structure & constructions;Argument structure & constructions;Argument structure & constructions;notes;
103;mechanistic;;;;XLM-R BASE;bidir;['english', 'french', 'german', 'hebrew', 'russian'];French;;;;;;;;;;;;;0.83;0.98;;;;;;;;;;;;;;;;;;;;;;;;Figure 2;
103;mechanistic;;;;XLM-R BASE;bidir;['english', 'french', 'german', 'hebrew', 'russian'];German;;;;;;;;;;;;;0.67;0.95;;;;;;;;;;;;;;;;;;;;;;;;Figure 2;
103;mechanistic;;;;XLM-R BASE;bidir;['english', 'french', 'german', 'hebrew', 'russian'];Hebrew;;;;;;;;;;;;;0.38;0.65;;;;;;;;;;;;;;;;;;;;;;;;Figure 2;
103;mechanistic;;;;XLM-R BASE;bidir;['english', 'french', 'german', 'hebrew', 'russian'];Russian;;;;;;;;;;;;;0.6;1;;;;;;;;;;;;;;;;;;;;;;;;Figure 2;
281;mechanistic;Hierarchical structure;no accuracy behavioral;1;BERT-based, BertForQuestionAnswering finetune;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579;mechanistic;word order, POS;;;mBERT-base-cased;bidir;[];English;;;;;;;;;;;;;;;;;;;;;;;0.97;;;;;;;;;;;;;;;Table 2;
579;mechanistic;;;;mBERT-base-cased;bidir;[];German;;;;;;;;;;;;;;;;;;;;;;;0.94;;;;;;;;;;;;;;;Table 2;
579;mechanistic;;;;mBERT-base-cased;bidir;[];Spanish;;;;;;;;;;;;;;;;;;;;;;;0.97;;;;;;;;;;;;;;;Table 2;
579;mechanistic;;;;mBERT-base-cased;bidir;[];Italian;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;;;;Table 2;
579;mechanistic;;;;mBERT-base-cased;bidir;[];Bengali;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;
579;mechanistic;;;;mBERT-base-cased;bidir;[];Japanese;;;;;;;;;;;;;;;;;;;;;;;0.97;;;;;;;;;;;;;;;;
586;mechanistic;Benchmark;;;Gpt2-medium;causal;['arabic', 'english', 'galician', 'german', 'slovak', 'vietnamese'];English;;0.826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;mechanistic;;;;BERT base;bidir;['arabic', 'english', 'galician', 'german', 'slovak', 'vietnamese'];English;;0.842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;mechanistic;;;;BERT large;bidir;['arabic', 'english', 'galician', 'german', 'slovak', 'vietnamese'];English;;0.848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;mechanistic;;;;Roberta base ;bidir;['arabic', 'english', 'galician', 'german', 'slovak', 'vietnamese'];English;;0.854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;mechanistic;;;;Roberta large ;bidir;['arabic', 'english', 'galician', 'german', 'slovak', 'vietnamese'];English;;0.865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
613;mechanistic;Argument Structure and other Constructions;no accuracy behavioral;1;bert-base-cased;bidir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;mechanistic;Dependency parsing and constituency;no accuracy behavioral;1;GPT-2 (small: 124M, medium: 355M, large: 774M parameters), Gemma1 (2B parameters), Llama (3B, and 8B parameters), and Qwen (0.5B, 1.5B, and 3B parameters);causal;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;mechanistic;POS;no accuracy behavioral;1;BERT-base-uncased;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;mechanistic;Agreement and feature-checking, Argument Structure and other Constructions;;;BERT large uncased;bidir;['monoling-english'];English;;;;;;;;;;;;;0.62;;;;;;;;;;;;;;;;;;;;;;;;;Table 4 mean;
218;mechanistic;;;;GPT-2 medium;causal;['monoling-english'];English;;;;;;;;;;;;;0.88;;;;;;;;;;;;;;;;;;;;;;;;;Table 4 mean;
249;mechanistic;POS, Dependency parsing and constituency, Hierarchical structure, Agreement and feature-checking;no accuracy behavioral;1;BERT-base-cased;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;mechanistic;word order, Dependency parsing and constituency;no accuracy behavioral;1;mBERT, mBART;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
476;mechanistic;POS, Hierarchical structure;no accuracy behavioral;1;BERT and RoBERTa-base;bidir;['english', 'russian', 'swedish'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;mechanistic;Agreement and feature-checking;no accuracy behavioral;1;GPT-2 XL;causal;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;mechanistic;POS;;;BERT- BASE -uncased;bidir;['monoling-english'];English;;;;;;;;;;;;;;;;;;;;;;;0.94;;;;;;;;;;;;;;;Table 1 LM-Acc;
102;mechanistic;Argument Structure and other Constructions;no accuracy behavioral;1;BERT-large-uncased-whole-word-masking, BertForQuestionAnswering,” already fine-tuned;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;mechanistic;Benchmark;no accuracy behavioral (report F1 scores);1;GPT-2 XL, Elmo;causal;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;mechanistic;Agreement and feature-checking;;;BERT-base;bidir;['monoling-english'];English;;;;;;;;;;;;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;Figure 3 c;
184;mechanistic;Agreement and feature-checking;;;BERT-base;bidir;['monoling-english'];English;;;;;;;;;;;;;0.92;;;;;;;;;;;;;;;;;;;;;;;;;in text accuracy: 91.7%;
190;mechanistic;Agreement and feature-checking;no accuracy behavioral;1;ALBERT-xxlarge-v2, GPT4 (partially);bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;mechanistic;Agreement and feature-checking, Ellipsis and filler-gap dependencies, Hierarchical structure, Argument Structure and other Constructions, Binding and coreference;;;roberta-base-1B;bidir;['monoling-english'];English;;;;;;;;0.83;;;;;0.84;;;;;;;;;;0.96;;;;;;;;;;;;;;;Table 3;
197;mechanistic;;;;roberta-base-100M;bidir;['monoling-english'];English;;;;;;;;0.8;;;;;0.9;;;;;;;;;;0.96;;;;;;;;;;;;;;;Table 3;
197;mechanistic;;;;roberta-base-10M;bidir;['monoling-english'];English;;;;;;;;0.83;;;;;0.83;;;;;;;;;;0.94;;;;;;;;;;;;;;;Table 3;
197;mechanistic;;;;rob-med-small-1M;bidir;['monoling-english'];English;;;;;;;;0.65;;;;;0.61;;;;;;;;;;0.92;;;;;;;;;;;;;;;Table 3;
213;mechanistic;word order, Agreement and feature-checking, Dependency parsing and constituency, Argument Structure and other Constructions, Hierarchical structure;;;RoBERTa;bidir;['monoling-english'];English;;;;0.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.62;;;;Table 2, ReCoRD, COPA;
242;mechanistic;Dependency parsing and constituency;;;RoBERTa-base ;bidir;['monoling-english'];English;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cola;
242;mechanistic;;;;RoBERTa-Large;bidir;['monoling-english'];English;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cola;
322;mechanistic;Hierarchical structure, Negation and NPIs;no accuracy behavioral;1;Transformer Grammars: TGs, TXL (terminals), TXL (trees);causal;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403;mechanistic;negation and NPIs, Argument Structure and other Constructions;no accuracy behavioral;1;LLaMA-2 family ;causal;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413;mechanistic;POS, Dependency parsing and constituency;no accuracy behavioral;1;Bert-base;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427;mechanistic;Agreement and feature-checking, Hierarchical structure, Ellipsis and filler-gap dependencies, Binding and Coreference, Negation and NPIs;;;Pythia 6.9b;causal;['monoling-english'];English;;;;;;;;0.77;;;;;0.99;;;;;;;;;;;;0.98;;;;;;;;;;;;;Figure 3, Agreement, Licensing, Garden-Path effects;
442;mechanistic;Ellipsis and filler-gap dependencies;no accuracy behavioral;1;Llama2-7B, Llama3-8B, and Qwen-7B;causal;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
444;mechanistic;Agreement and feature-checking, binding and coreference;no accuracy behavioral;1;BERT-BASE;bidir;['chinese', 'english', 'german'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 4 reports probing accuracy;
462;mechanistic;POS;no macro accuracy behavioral;1;RoBERTa pretrained and from scratch, pretrained BERT-base-cased, DistilBERT;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
474;mechanistic;POS, Dependency parsing and constituency;;;BERT-base;bidir;['monoling-english'];English;;;;0.95;;;;;;;;;;;;;;;;;;;0.95;;;;;;;;;;;;;;;Table 9;
474;mechanistic;;;;XLNet-base ;bidir;['monoling-english'];English;;;;0.94;;;;;;;;;;;;;;;;;;;0.96;;;;;;;;;;;;;;;Table 9;
475;mechanistic;Dependency parsing and constituency, Binding and coreference, Argument Structure and other Constructions;no per category accuracy;1;BERT-base, XLNet, and ELECTRA;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479;mechanistic;typology, word order, negation and NPIs;no accuracy behavioral;1;bert-base-italian-cased, bert-base-french-europeana-cased, bert-base-spanish-wwm-cased, bert-base-romanian-cased-v1, bert-base-uncased, bert-base-swedish-cased, bert-base-german-cased, bert-base-dutch-cased, rubert-base-cased, bert-base-greek-uncased-v1, bert-base-turkish-cased, bert-base-finnish-cased-v1. bert-fa-base-uncased;bidir;['dutch', 'english', 'finnish', 'french', 'german', 'greek', 'italian', 'persian', 'romanian', 'russian', 'spanish', 'swedish', 'turkish'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
482;mechanistic;Dependency parsing and constituency;no accuracy behavioral;1;mBERT;bidir;['catalan', 'dutch', 'french', 'icelandic', 'indonesian', 'italian', 'portuguese', 'spanish', 'turkish', 'vietnamese'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;Benchmark;;;GPT-2 (2-layer) 4M;causal;['monoling-english'];English;;0.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 16M;causal;['monoling-english'];English;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 64M;causal;['monoling-english'];English;;0.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 256M;causal;['monoling-english'];English;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 1B;causal;['monoling-english'];English;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 2B;causal;['monoling-english'];English;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 3B;causal;['monoling-english'];English;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 4B;causal;['monoling-english'];English;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 5B;causal;['monoling-english'];English;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 6B;causal;['monoling-english'];English;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 7B;causal;['monoling-english'];English;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 8B;causal;['monoling-english'];English;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 9B;causal;['monoling-english'];English;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;GPT-2 (2-layer) 10B;causal;['monoling-english'];English;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 1M;causal;['monoling-english'];English;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 4M;causal;['monoling-english'];English;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 16M;causal;['monoling-english'];English;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 64M;causal;['monoling-english'];English;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 256M;causal;['monoling-english'];English;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 1B;causal;['monoling-english'];English;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 2B;causal;['monoling-english'];English;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 3B;causal;['monoling-english'];English;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 4B;causal;['monoling-english'];English;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 5B;causal;['monoling-english'];English;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 6B;causal;['monoling-english'];English;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 7B;causal;['monoling-english'];English;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 8B;causal;['monoling-english'];English;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 9B;causal;['monoling-english'];English;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-70M 10B;causal;['monoling-english'];English;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 1M;causal;['monoling-english'];English;;0.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 4M;causal;['monoling-english'];English;;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 16M;causal;['monoling-english'];English;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 64M;causal;['monoling-english'];English;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 256M;causal;['monoling-english'];English;;0.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 1B;causal;['monoling-english'];English;;0.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 2B;causal;['monoling-english'];English;;0.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 3B;causal;['monoling-english'];English;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 4B;causal;['monoling-english'];English;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 5B;causal;['monoling-english'];English;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 6B;causal;['monoling-english'];English;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 7B;causal;['monoling-english'];English;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 8B;causal;['monoling-english'];English;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 9B;causal;['monoling-english'];English;;0.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-160M 10B;causal;['monoling-english'];English;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 1M;causal;['monoling-english'];English;;0.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 4M;causal;['monoling-english'];English;;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 16M;causal;['monoling-english'];English;;0.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 64M;causal;['monoling-english'];English;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 256M;causal;['monoling-english'];English;;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 1B;causal;['monoling-english'];English;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 2B;causal;['monoling-english'];English;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 3B;causal;['monoling-english'];English;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 4B;causal;['monoling-english'];English;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 5B;causal;['monoling-english'];English;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 6B;causal;['monoling-english'];English;;0.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 7B;causal;['monoling-english'];English;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 8B;causal;['monoling-english'];English;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 9B;causal;['monoling-english'];English;;0.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;mechanistic;;;;Pythia-410M 10B;causal;['monoling-english'];English;;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
539;mechanistic;Benchmark;no accuracy behavioral;1;;causal;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
605;mechanistic;Dependency parsing and constituency, Hierarchical structure;no accuracy behavioral;1;RoBERTa;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
515;mechanistic;Benchmark;no accuracy behavioral;1;GPT-2, LLaMA (2 and 3), Falcon, Mistral, RoBERTa, DeBERTa, T5, and ELECTRA, Pythia, Gemma, Olmo;both;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;mechanistic;hierarchical structure;no accuracy behavioral;1;BERT-large, Elmo;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;mechanistic;POS;;;bert-base-uncased;bidir;['monoling-english'];English;;;;;;;;;;;;;;;;;;;;;;;0.78;;;;;;;;;;;;;;;Figure 1;
15;mechanistic;hierarchical structure;no accuracy behavioral;1;BERT-large-uncased;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;mechanistic;Binding and coreference;no accuracy behavioral;1;TransformerXL, GPT2-XL, LSTM;causal;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;mechanistic;Dependency parsing and constituency;no accuracy behavioral;1;mBERT, BERT-base-uncased;bidir;['czech', 'english', 'finnish', 'french', 'german', 'indonesian', 'japanese', 'korean', 'turkish'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;mechanistic;Agreement and feature-checking, Benchmark;no accuracy behavioral;1;BERT, RoBERTa, and XLNet;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;mechanistic;Dependency parsing and constituency;no accuracy behavioral;1;BERT-base-uncased, Roberta;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;mechanistic;Argument Structure and other Constructions;no accuracy behavioral;1;BERT-base;bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;mechanistic;Argument Structure and other Constructions;no accuracy behavioral;1;BERT (Devlin et al., 2019)• GPT-2 (Radford et al., 2019)• RoBERTa (Liu et al., 2019b)• XLNet (Yang et al., 2019);both;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;mechanistic;Benchmark;;;Gpt2-medium (Salazar et al. (2020));causal;['english', 'italian', 'swedish'];English;;0.826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;mechanistic;;;;En-BERT;bidir;['english', 'italian', 'swedish'];English;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;mechanistic;;;;XLM-R;bidir;['english', 'italian', 'swedish'];English;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;mechanistic;;;;It-BERT;bidir;['english', 'italian', 'swedish'];Italian;;0.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;mechanistic;;;;XLM-R;bidir;['english', 'italian', 'swedish'];Italian;;0.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;mechanistic;;;;Sw-BERT;bidir;['english', 'italian', 'swedish'];Swedish;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;mechanistic;;;;XLM-R;bidir;['english', 'italian', 'swedish'];Swedish;;0.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;mechanistic;Benchmark;;;GPT2tiny ;causal;['monoling-english'];English;;0.5442857143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;mechanistic;Benchmark;;;BabyBERTa+AO-CHILDES;bidir;['monoling-english'];English;;0.616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;mechanistic;;;;BabyBERTa+Wikipedia-1 ;bidir;['monoling-english'];English;;0.646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;mechanistic;;;;BabyBERTa+concat;bidir;['monoling-english'];English;;0.691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
